ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.693,0.61,0.184,0.677,0.289,0.398,0.323,2.105,32,2.0,0.001,0.5,0.05
0.713,0.601,0.186,0.716,0.296,0.414,0.284,2.105,32,2.0,0.001,1.0,0.05
0.719,0.628,0.191,0.676,0.298,0.379,0.324,2.105,32,2.0,0.001,2.0,0.05
0.743,0.602,0.194,0.763,0.31,0.419,0.237,2.105,32,2.0,0.003,0.5,0.05
0.739,0.609,0.193,0.738,0.306,0.408,0.262,2.105,32,2.0,0.003,1.0,0.05
0.727,0.609,0.189,0.713,0.299,0.405,0.287,2.105,32,2.0,0.003,2.0,0.05
0.773,0.62,0.204,0.776,0.323,0.401,0.224,2.105,32,2.0,0.005,0.5,0.05
0.767,0.658,0.216,0.734,0.334,0.352,0.266,2.105,32,2.0,0.005,1.0,0.05
0.765,0.715,0.242,0.672,0.356,0.279,0.328,2.105,32,2.0,0.005,2.0,0.05
0.654,0.49,0.159,0.782,0.264,0.548,0.218,13.785,64,0.8,0.001,0.5,0.05
0.696,0.595,0.183,0.712,0.291,0.42,0.288,13.785,64,0.8,0.001,1.0,0.05
0.684,0.51,0.162,0.762,0.267,0.523,0.238,13.785,64,0.8,0.001,2.0,0.05
0.715,0.612,0.189,0.706,0.299,0.401,0.294,13.785,64,0.8,0.003,0.5,0.05
0.715,0.655,0.201,0.658,0.308,0.346,0.342,13.785,64,0.8,0.003,1.0,0.05
0.721,0.604,0.186,0.709,0.295,0.41,0.291,13.785,64,0.8,0.003,2.0,0.05
0.742,0.629,0.2,0.721,0.313,0.383,0.279,13.785,64,0.8,0.005,0.5,0.05
0.734,0.624,0.196,0.715,0.308,0.387,0.285,13.785,64,0.8,0.005,1.0,0.05
0.728,0.606,0.189,0.717,0.299,0.409,0.283,13.785,64,0.8,0.005,2.0,0.05
0.688,0.588,0.176,0.683,0.28,0.424,0.317,7.17,64,1.1,0.001,0.5,0.05
0.668,0.587,0.17,0.653,0.27,0.422,0.347,7.17,64,1.1,0.001,1.0,0.05
0.662,0.559,0.164,0.677,0.264,0.456,0.323,7.17,64,1.1,0.001,2.0,0.05
0.714,0.654,0.204,0.672,0.313,0.348,0.328,7.17,64,1.1,0.003,0.5,0.05
0.743,0.679,0.217,0.667,0.327,0.319,0.333,7.17,64,1.1,0.003,1.0,0.05
0.718,0.608,0.186,0.694,0.293,0.403,0.306,7.17,64,1.1,0.003,2.0,0.05
0.735,0.617,0.193,0.712,0.303,0.395,0.288,7.17,64,1.1,0.005,0.5,0.05
0.734,0.587,0.188,0.759,0.301,0.435,0.241,7.17,64,1.1,0.005,1.0,0.05
0.727,0.642,0.201,0.692,0.311,0.365,0.308,7.17,64,1.1,0.005,2.0,0.05
0.699,0.59,0.181,0.713,0.289,0.426,0.287,4.446,64,1.5,0.001,0.5,0.05
0.693,0.572,0.178,0.733,0.286,0.449,0.267,4.446,64,1.5,0.001,1.0,0.05
0.656,0.529,0.158,0.698,0.258,0.493,0.302,4.446,64,1.5,0.001,2.0,0.05
0.722,0.659,0.202,0.649,0.308,0.34,0.351,4.446,64,1.5,0.003,0.5,0.05
0.717,0.649,0.195,0.638,0.298,0.35,0.362,4.446,64,1.5,0.003,1.0,0.05
0.707,0.609,0.187,0.7,0.295,0.403,0.3,4.446,64,1.5,0.003,2.0,0.05
0.747,0.611,0.196,0.753,0.312,0.408,0.247,4.446,64,1.5,0.005,0.5,0.05
0.75,0.656,0.213,0.718,0.328,0.353,0.282,4.446,64,1.5,0.005,1.0,0.05
0.733,0.612,0.194,0.736,0.308,0.404,0.264,4.446,64,1.5,0.005,2.0,0.05
0.683,0.491,0.158,0.777,0.263,0.547,0.223,3.051,64,2.0,0.001,0.5,0.05
0.709,0.624,0.191,0.683,0.298,0.384,0.317,3.051,64,2.0,0.001,1.0,0.05
0.691,0.47,0.162,0.849,0.273,0.58,0.151,3.051,64,2.0,0.001,2.0,0.05
0.722,0.644,0.199,0.674,0.307,0.36,0.326,3.051,64,2.0,0.003,0.5,0.05
0.717,0.61,0.19,0.716,0.301,0.404,0.284,3.051,64,2.0,0.003,1.0,0.05
0.718,0.636,0.197,0.683,0.305,0.37,0.317,3.051,64,2.0,0.003,2.0,0.05
0.737,0.623,0.198,0.73,0.312,0.391,0.27,3.051,64,2.0,0.005,0.5,0.05
0.752,0.663,0.216,0.718,0.333,0.345,0.282,3.051,64,2.0,0.005,1.0,0.05
0.735,0.583,0.185,0.757,0.298,0.441,0.243,3.051,64,2.0,0.005,2.0,0.05
0.593,0.357,0.134,0.824,0.231,0.704,0.176,20.006,128,0.8,0.001,0.5,0.05
0.699,0.528,0.171,0.791,0.282,0.507,0.209,20.006,128,0.8,0.001,1.0,0.05
0.668,0.518,0.16,0.733,0.262,0.511,0.267,20.006,128,0.8,0.001,2.0,0.05
0.696,0.547,0.172,0.75,0.279,0.48,0.25,20.006,128,0.8,0.003,0.5,0.05
0.681,0.593,0.177,0.677,0.28,0.418,0.323,20.006,128,0.8,0.003,1.0,0.05
0.69,0.591,0.18,0.699,0.286,0.423,0.301,20.006,128,0.8,0.003,2.0,0.05
0.725,0.643,0.199,0.681,0.308,0.362,0.319,20.006,128,0.8,0.005,0.5,0.05
0.733,0.634,0.2,0.709,0.312,0.376,0.291,20.006,128,0.8,0.005,1.0,0.05
0.701,0.626,0.187,0.655,0.291,0.378,0.345,20.006,128,0.8,0.005,2.0,0.05
0.679,0.555,0.17,0.721,0.275,0.467,0.279,10.708,128,1.1,0.001,0.5,0.05
0.694,0.549,0.172,0.748,0.28,0.477,0.252,10.708,128,1.1,0.001,1.0,0.05
0.633,0.455,0.147,0.761,0.246,0.586,0.239,10.708,128,1.1,0.001,2.0,0.05
0.676,0.57,0.175,0.717,0.281,0.449,0.283,10.708,128,1.1,0.003,0.5,0.05
0.677,0.551,0.17,0.731,0.276,0.473,0.269,10.708,128,1.1,0.003,1.0,0.05
0.701,0.574,0.177,0.724,0.285,0.446,0.276,10.708,128,1.1,0.003,2.0,0.05
0.716,0.628,0.193,0.683,0.301,0.379,0.317,10.708,128,1.1,0.005,0.5,0.05
0.717,0.619,0.19,0.693,0.299,0.39,0.307,10.708,128,1.1,0.005,1.0,0.05
0.719,0.616,0.188,0.685,0.295,0.393,0.315,10.708,128,1.1,0.005,2.0,0.05
