ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio,DP Enabled,Run
0.881,0.655,0.243,0.923,0.385,0.381,0.077,0.638,64,2.0,0.003,2.0,1.0,True,1
0.89,0.636,0.237,0.948,0.379,0.405,0.052,0.638,64,2.0,0.005,0.5,1.0,True,1
0.892,0.684,0.261,0.931,0.408,0.348,0.069,0.638,64,2.0,0.005,1.0,1.0,True,1
0.892,0.65,0.243,0.944,0.387,0.389,0.056,0.638,64,2.0,0.005,2.0,1.0,True,1
0.758,0.654,0.213,0.727,0.329,0.356,0.273,3.813,128,0.8,0.001,0.5,1.0,True,1
0.75,0.647,0.21,0.733,0.327,0.364,0.267,3.813,128,0.8,0.001,1.0,1.0,True,1
0.76,0.645,0.209,0.733,0.326,0.367,0.267,3.813,128,0.8,0.001,2.0,1.0,True,1
0.829,0.678,0.241,0.819,0.373,0.341,0.181,3.813,128,0.8,0.003,0.5,1.0,True,1
0.823,0.668,0.235,0.815,0.365,0.351,0.185,3.813,128,0.8,0.003,1.0,1.0,True,1
0.823,0.679,0.24,0.804,0.369,0.338,0.196,3.813,128,0.8,0.003,2.0,1.0,True,1
0.872,0.637,0.234,0.922,0.373,0.401,0.078,3.813,128,0.8,0.005,0.5,1.0,True,1
0.868,0.617,0.225,0.927,0.362,0.424,0.073,3.813,128,0.8,0.005,1.0,1.0,True,1
0.865,0.607,0.219,0.918,0.353,0.434,0.082,3.813,128,0.8,0.005,2.0,1.0,True,1
0.765,0.666,0.221,0.737,0.341,0.343,0.263,2.013,128,1.1,0.001,0.5,1.0,True,1
0.751,0.652,0.212,0.726,0.328,0.357,0.274,2.013,128,1.1,0.001,1.0,1.0,True,1
0.764,0.658,0.218,0.744,0.337,0.353,0.256,2.013,128,1.1,0.001,2.0,1.0,True,1
0.827,0.685,0.246,0.818,0.378,0.332,0.182,2.013,128,1.1,0.003,0.5,1.0,True,1
0.816,0.673,0.236,0.798,0.364,0.343,0.202,2.013,128,1.1,0.003,1.0,1.0,True,1
0.827,0.684,0.244,0.813,0.376,0.333,0.187,2.013,128,1.1,0.003,2.0,1.0,True,1
0.869,0.621,0.225,0.916,0.361,0.418,0.084,2.013,128,1.1,0.005,0.5,1.0,True,1
0.877,0.659,0.244,0.911,0.385,0.375,0.089,2.013,128,1.1,0.005,1.0,1.0,True,1
0.873,0.648,0.237,0.904,0.375,0.386,0.096,2.013,128,1.1,0.005,2.0,1.0,True,1
0.755,0.648,0.209,0.721,0.324,0.361,0.279,1.293,128,1.5,0.001,0.5,1.0,True,1
0.76,0.652,0.214,0.736,0.331,0.359,0.264,1.293,128,1.5,0.001,1.0,1.0,True,1
0.753,0.627,0.203,0.749,0.32,0.389,0.251,1.293,128,1.5,0.001,2.0,1.0,True,1
0.845,0.661,0.238,0.859,0.373,0.365,0.141,1.293,128,1.5,0.003,0.5,1.0,True,1
