ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Config
0.792,0.756,0.277,0.677,0.393,0.234,0.323,2.763,64,0.8,0.003,0.5,"BS=64.0, Noise=0.8, LR=0.003, Clip=0.5"
0.74,0.662,0.21,0.684,0.322,0.341,0.316,2.763,64,0.8,0.003,1.0,"BS=64.0, Noise=0.8, LR=0.003, Clip=1.0"
0.878,0.87,0.458,0.6,0.519,0.094,0.4,2.763,64,0.8,0.003,2.0,"BS=64.0, Noise=0.8, LR=0.003, Clip=2.0"
0.778,0.783,0.295,0.614,0.398,0.195,0.386,2.763,64,0.8,0.005,0.5,"BS=64.0, Noise=0.8, LR=0.005, Clip=0.5"
0.783,0.778,0.292,0.629,0.399,0.202,0.371,2.763,64,0.8,0.005,1.0,"BS=64.0, Noise=0.8, LR=0.005, Clip=1.0"
0.839,0.869,0.449,0.53,0.486,0.086,0.47,2.763,64,0.8,0.005,2.0,"BS=64.0, Noise=0.8, LR=0.005, Clip=2.0"
0.766,0.678,0.223,0.704,0.338,0.326,0.296,1.419,64,1.1,0.001,0.5,"BS=64.0, Noise=1.1, LR=0.001, Clip=0.5"
0.729,0.662,0.207,0.668,0.316,0.339,0.332,1.419,64,1.1,0.001,1.0,"BS=64.0, Noise=1.1, LR=0.001, Clip=1.0"
0.752,0.679,0.218,0.676,0.33,0.321,0.324,1.419,64,1.1,0.001,2.0,"BS=64.0, Noise=1.1, LR=0.001, Clip=2.0"
0.763,0.705,0.234,0.67,0.347,0.291,0.33,1.419,64,1.1,0.003,0.5,"BS=64.0, Noise=1.1, LR=0.003, Clip=0.5"
0.768,0.693,0.232,0.701,0.348,0.308,0.299,1.419,64,1.1,0.003,1.0,"BS=64.0, Noise=1.1, LR=0.003, Clip=1.0"
0.875,0.849,0.416,0.716,0.526,0.133,0.284,1.419,64,1.1,0.003,2.0,"BS=64.0, Noise=1.1, LR=0.003, Clip=2.0"
0.771,0.694,0.232,0.699,0.349,0.307,0.301,1.419,64,1.1,0.005,0.5,"BS=64.0, Noise=1.1, LR=0.005, Clip=0.5"
0.854,0.865,0.442,0.591,0.506,0.099,0.409,1.419,64,1.1,0.005,1.0,"BS=64.0, Noise=1.1, LR=0.005, Clip=1.0"
0.867,0.841,0.399,0.71,0.511,0.142,0.29,1.419,64,1.1,0.005,2.0,"BS=64.0, Noise=1.1, LR=0.005, Clip=2.0"
0.763,0.676,0.224,0.717,0.341,0.329,0.283,0.904,64,1.5,0.001,0.5,"BS=64.0, Noise=1.5, LR=0.001, Clip=0.5"
0.744,0.678,0.216,0.666,0.326,0.32,0.334,0.904,64,1.5,0.001,1.0,"BS=64.0, Noise=1.5, LR=0.001, Clip=1.0"
0.765,0.685,0.226,0.698,0.342,0.317,0.302,0.904,64,1.5,0.001,2.0,"BS=64.0, Noise=1.5, LR=0.001, Clip=2.0"
0.742,0.658,0.208,0.681,0.318,0.345,0.319,0.904,64,1.5,0.003,0.5,"BS=64.0, Noise=1.5, LR=0.003, Clip=0.5"
0.849,0.822,0.365,0.708,0.482,0.163,0.292,0.904,64,1.5,0.003,1.0,"BS=64.0, Noise=1.5, LR=0.003, Clip=1.0"
0.751,0.701,0.229,0.659,0.34,0.293,0.341,0.904,64,1.5,0.003,2.0,"BS=64.0, Noise=1.5, LR=0.003, Clip=2.0"
0.884,0.865,0.447,0.655,0.531,0.108,0.345,0.904,64,1.5,0.005,0.5,"BS=64.0, Noise=1.5, LR=0.005, Clip=0.5"
