ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.87,0.835,0.389,0.724,0.506,0.151,0.276,0.449,32,2.0,0.003,2.0,1.0
0.865,0.871,0.459,0.573,0.51,0.089,0.427,0.449,32,2.0,0.005,0.5,1.0
0.869,0.886,0.515,0.499,0.507,0.062,0.501,0.449,32,2.0,0.005,1.0,1.0
0.83,0.856,0.414,0.557,0.475,0.104,0.443,0.449,32,2.0,0.005,2.0,1.0
0.745,0.674,0.216,0.682,0.329,0.327,0.318,2.763,64,0.8,0.001,0.5,1.0
0.76,0.669,0.219,0.712,0.335,0.336,0.288,2.763,64,0.8,0.001,1.0,1.0
0.767,0.698,0.232,0.683,0.346,0.3,0.317,2.763,64,0.8,0.001,2.0,1.0
0.765,0.719,0.244,0.668,0.357,0.275,0.332,2.763,64,0.8,0.003,0.5,1.0
0.816,0.782,0.308,0.693,0.426,0.206,0.307,2.763,64,0.8,0.003,1.0,1.0
0.768,0.693,0.231,0.697,0.347,0.308,0.303,2.763,64,0.8,0.003,2.0,1.0
0.882,0.856,0.427,0.688,0.527,0.122,0.312,2.763,64,0.8,0.005,0.5,1.0
0.869,0.863,0.44,0.63,0.518,0.106,0.37,2.763,64,0.8,0.005,1.0,1.0
0.869,0.853,0.42,0.679,0.519,0.124,0.321,2.763,64,0.8,0.005,2.0,1.0
0.75,0.674,0.217,0.687,0.33,0.328,0.313,1.419,64,1.1,0.001,0.5,1.0
0.741,0.674,0.216,0.681,0.328,0.327,0.319,1.419,64,1.1,0.001,1.0,1.0
0.759,0.686,0.226,0.694,0.341,0.315,0.306,1.419,64,1.1,0.001,2.0,1.0
0.777,0.702,0.237,0.698,0.354,0.297,0.302,1.419,64,1.1,0.003,0.5,1.0
0.832,0.788,0.32,0.723,0.443,0.204,0.277,1.419,64,1.1,0.003,1.0,1.0
0.745,0.676,0.216,0.675,0.328,0.324,0.325,1.419,64,1.1,0.003,2.0,1.0
0.783,0.774,0.287,0.627,0.393,0.207,0.373,1.419,64,1.1,0.005,0.5,1.0
0.88,0.872,0.465,0.629,0.535,0.096,0.371,1.419,64,1.1,0.005,1.0,1.0
0.864,0.854,0.418,0.642,0.506,0.118,0.358,1.419,64,1.1,0.005,2.0,1.0
0.762,0.68,0.223,0.698,0.338,0.323,0.302,0.904,64,1.5,0.001,0.5,1.0
0.75,0.669,0.216,0.694,0.329,0.335,0.306,0.904,64,1.5,0.001,1.0,1.0
0.758,0.679,0.222,0.695,0.336,0.323,0.305,0.904,64,1.5,0.001,2.0,1.0
0.758,0.696,0.229,0.675,0.342,0.301,0.325,0.904,64,1.5,0.003,0.5,1.0
0.839,0.806,0.343,0.712,0.463,0.181,0.288,0.904,64,1.5,0.003,1.0,1.0
0.881,0.858,0.433,0.68,0.529,0.118,0.32,0.904,64,1.5,0.003,2.0,1.0
0.777,0.687,0.23,0.716,0.348,0.317,0.284,0.904,64,1.5,0.005,0.5,1.0
0.858,0.889,0.53,0.44,0.481,0.052,0.56,0.904,64,1.5,0.005,1.0,1.0
0.873,0.864,0.443,0.617,0.516,0.103,0.383,0.904,64,1.5,0.005,2.0,1.0
