Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio,DP Enabled,ROC AUC mean,ROC AUC min,ROC AUC max,Accuracy mean,Accuracy min,Accuracy max,Precision mean,Precision min,Precision max,Recall mean,Recall min,Recall max,F1 Score mean,F1 Score min,F1 Score max,Type I Error mean,Type I Error min,Type I Error max,Type II Error mean,Type II Error min,Type II Error max,Epsilon mean,Epsilon min,Epsilon max
64,0.8,0.005,1.0,1.0,True,0.887,0.88,0.894,0.796,0.709,0.825,0.348,0.275,0.38,0.822,0.778,0.913,0.488,0.423,0.51,0.208,0.168,0.318,0.178,0.087,0.222,2.763,2.763,2.763
64,0.8,0.005,2.0,0.05,True,0.734,0.711,0.753,0.664,0.622,0.72,0.21,0.195,0.238,0.671,0.633,0.716,0.32,0.305,0.347,0.336,0.268,0.39,0.329,0.284,0.367,13.785,13.785,13.785
64,0.8,0.005,2.0,0.1,True,0.755,0.745,0.764,0.654,0.612,0.679,0.212,0.198,0.222,0.718,0.695,0.763,0.328,0.315,0.337,0.354,0.324,0.408,0.282,0.237,0.305,9.233,9.233,9.233
64,0.8,0.005,2.0,0.5,True,0.867,0.844,0.882,0.792,0.709,0.878,0.349,0.262,0.481,0.763,0.532,0.866,0.469,0.397,0.522,0.204,0.076,0.305,0.237,0.134,0.468,3.813,3.813,3.813
64,0.8,0.005,2.0,1.0,True,0.889,0.88,0.895,0.81,0.786,0.829,0.362,0.338,0.387,0.814,0.781,0.858,0.501,0.485,0.52,0.191,0.166,0.223,0.186,0.142,0.219,2.763,2.763,2.763
64,1.1,0.001,0.5,0.05,True,0.663,0.638,0.693,0.566,0.486,0.624,0.167,0.157,0.182,0.675,0.616,0.779,0.267,0.254,0.283,0.449,0.377,0.553,0.325,0.221,0.384,7.17,7.17,7.17
64,1.1,0.001,0.5,0.1,True,0.699,0.682,0.719,0.624,0.608,0.649,0.188,0.178,0.2,0.664,0.638,0.706,0.292,0.279,0.308,0.382,0.354,0.404,0.336,0.294,0.362,4.839,4.839,4.839
64,1.1,0.001,0.5,0.5,True,0.756,0.75,0.767,0.655,0.623,0.681,0.213,0.202,0.224,0.722,0.701,0.753,0.329,0.319,0.339,0.354,0.322,0.394,0.278,0.247,0.299,2.013,2.013,2.013
64,1.1,0.001,0.5,1.0,True,0.792,0.78,0.806,0.686,0.663,0.712,0.235,0.221,0.251,0.744,0.717,0.78,0.357,0.341,0.377,0.321,0.291,0.353,0.256,0.22,0.283,1.419,1.419,1.419
64,1.1,0.001,1.0,0.05,True,0.677,0.658,0.695,0.589,0.539,0.644,0.175,0.163,0.188,0.675,0.615,0.718,0.278,0.266,0.29,0.422,0.352,0.484,0.325,0.282,0.385,7.17,7.17,7.17
64,1.1,0.001,1.0,0.1,True,0.691,0.673,0.702,0.606,0.546,0.641,0.18,0.169,0.189,0.665,0.601,0.762,0.283,0.272,0.293,0.402,0.355,0.483,0.335,0.238,0.399,4.839,4.839,4.839
64,1.1,0.001,1.0,0.5,True,0.754,0.742,0.763,0.649,0.636,0.666,0.211,0.208,0.216,0.73,0.695,0.754,0.327,0.324,0.335,0.361,0.338,0.38,0.27,0.246,0.305,2.013,2.013,2.013
